x	y
12.9	15.9
29.2	33.9
25.9	29.1
30.8	37.7
23.7	30
14.2	15.7
19.9	20.8
22.6	23.7
26.3	26.3
33	34.7
37.5	40.1
8.5	13.4
11.4	11.4
13.4	15.1
13.4	15.9
14.7	16.3
14.7	16.6
18	18.8
34.6	38
18.4	18.4
14.5	15.8
29.5	29.5
7.9	9.2
8.4	11.3
11.9	13.3
13.6	19
14.8	15.6
18.5	25.8
7.9	12.2
17.5	19.3
6.9	7.4
8.4	10.1
10.4	11.3
10.8	15.9
12.8	14
14.5	19.9
15.6	20.2
20.1	20.9
6.7	8.4
11.5	12.5
17	19.8
8.4	12.1
13.8	17.5
6.8	8
9	10
9.1	10
12.4	13.9
45.4	47.9
27.5	28
34.7	35.2
33.3	34.3
34.4	36.1
7.4	8.3
10.9	11.6
14.3	16.5
16.6	19.1
32.5	32.5
29	31.9
43.8	61.9
13.3	14.1
14.9	14.9
7.7	10.3
22.4	26.1
8.7	11.8
13	15.7
16.7	19.1
21	21.5
13	13.5
14.2	16.3
19.5	19.5
19.5	20.7
11.4	14.4
8.2	9
9.4	11.1
14	17.7
15.4	18.5
19.4	24.4
20.3	28.7
9.2	11.1
7.3	8.4
10.5	10.9
16.3	19.5
7.3	8.6
7.8	9.8
14.2	18.4
15.2	18.2
18.9	22.7
8.7	9.1
16.6	19.7
17.6	20
