x	y
11.16	68.8
4.02	69.1
15.7	63.4
9.11	56.8
11.68	73.5
5.13	77.6
25.65	72.6
2.69	78.1
1.03	73.1
0.94	68.8
1.91	62
7.83	60
15.33	53.8
57.31	62.2
48.28	74.9
54.77	55.1
5.13	82.3
77.1	58.1
34.89	58.3
4.14	72.8
19.59	84.6
83.78	59.6
46.8	66.1
10.56	87.2
4.32	66.7
6.91	68.4
96.12	64.7
76.14	34.9
82.66	72.1
24.71	69.3
76.04	67.5
21.03	57.2
11.15	57.6
8.13	54.1
97.51	46
95.97	41.9
68.24	49.4
91.76	42.3
75.92	47.7
11.37	30.9
83.19	32.7
92.86	38.7
7.62	36.1
52.27	37.2
96.14	38.1
47.06	29.4
56.1	51.1
39.17	35.7
63.23	35.6
17.04	41.5
3.16	40.2
67.82	26.5
7	14.8
3.69	23.3
13.09	47.3
24.44	47.1
23.88	51.1
0	43.5
1.65	51.6
52	29.7
15.51	20.2
6.01	54.9
96.53	25.9
69.31	20.8
33.57	17.3
30.08	20.1
3.6	44.1
27.75	21.5
0	35.3
33.3	38.9
17.26	25.2
17.26	34.8
72.24	23.2
31.36	33.3
39.48	28.8
1.5	42.5
4.28	44.2
2.3	35.9
5.17	41.8
13.62	35.9
5.78	43.7
74.54	50.8
2.92	37.2
90.67	28.2
0.81	38.1
0.78	50.3
0	27.3
1.34	40.9
0.99	50.2
0.65	51.1
0.56	38.9
0.52	36.2
2.46	29.9
0.61	42.9
1.09	26.5
0.58	66.1
0	48.9
9.47	35.9
3.59	25.1
0	26.1
